PRCNTL,STATURE,WAIST_HT,WH/S_DIFF,SUPRASTERNAL,SUPRA-WAIST/2,UPPERBOUND,UPPERBOUND_FT,PRCNT_HT
1,62.82,37.05,25.77,51.28,7.12,44.16500,3.68042,0.70304
2,63.62,37.52,26.10,51.93,7.21,44.72500,3.72708,0.70300
3,64.06,37.91,26.15,52.34,7.22,45.12500,3.76042,0.70442
5,64.69,38.27,26.42,52.88,7.31,45.57500,3.79792,0.70451
10,65.57,38.98,26.59,53.69,7.36,46.33500,3.86125,0.70665
15,66.34,39.53,26.81,54.24,7.36,46.88500,3.90708,0.70674
20,66.89,39.88,27.01,54.67,7.40,47.27500,3.93958,0.70676
25,67.32,40.24,27.08,55.05,7.41,47.64500,3.97042,0.70774
30,67.72,40.55,27.17,55.39,7.42,47.97000,3.99750,0.70836
35,68.07,40.83,27.24,55.70,7.44,48.26500,4.02208,0.70905
40,68.35,41.10,27.25,56.01,7.46,48.55500,4.04625,0.71039
45,68.70,41.38,27.32,56.30,7.46,48.84000,4.07000,0.71092
50,69.09,41.65,27.44,56.59,7.47,49.12000,4.09333,0.71096
55,69.45,41.93,27.52,56.89,7.48,49.41000,4.11750,0.71145
60,69.80,42.17,27.63,57.19,7.51,49.68000,4.14000,0.71175
65,70.16,42.48,27.68,57.50,7.51,49.99000,4.16583,0.71251
70,70.47,42.76,27.71,57.83,7.54,50.29500,4.19125,0.71371
75,70.87,42.99,27.88,58.19,7.60,50.59000,4.21583,0.71384
80,71.34,43.39,27.95,58.59,7.60,50.99000,4.24917,0.71475
85,71.93,43.86,28.07,59.06,7.60,51.46000,4.28833,0.71542
90,72.62,44.40,28.22,59.65,7.63,52.02500,4.33542,0.71640
95,73.72,45.31,28.41,60.50,7.60,52.90500,4.40875,0.71765
97,74.45,45.79,28.66,61.04,7.63,53.41500,4.45125,0.71746
98,74.88,46.21,28.67,61.42,7.61,53.81500,4.48458,0.71868
99,75.98,46.85,29.13,61.99,15.14,61.99000,5.16583,0.81587
